Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Equiv_Grade,College,Degree_Program
S02051,21,Female,33,Reading/Writing,7,Yes,84,50,59,No,Medium,21,9,3.1,Business and Finance,Accountancy
S02052,23,Male,13,Visual,13,Yes,78,93,81,Yes,Medium,7,6,4.305,Business and Finance,Accountancy
S02053,22,Female,24,Visual,8,Yes,92,69,79,Yes,Medium,8,5,3.895,Engineering,Mechanical
S02054,28,Male,10,Visual,17,No,60,54,66,Yes,High,13,7,2.91,Health Sciences,Pharmacy
S02055,20,Male,49,Reading/Writing,13,No,63,75,54,Yes,High,5,7,3.36,Business and Finance,Accountancy
S02056,24,Female,48,Auditory,9,Yes,86,99,66,Yes,Medium,6,4,4.425,Business and Finance,Entrepreneurship
S02057,29,Male,7,Reading/Writing,3,No,64,75,67,No,Low,11,6,3.505,Business and Finance,Economics
S02058,22,Male,15,Kinesthetic,12,No,85,70,60,Yes,Low,28,7,3.625,Health Sciences,Public Health
S02059,26,Male,37,Auditory,15,No,58,63,54,No,Low,3,8,2.985,Health Sciences,Pharmacy
S02060,27,Male,8,Kinesthetic,19,No,80,85,84,Yes,Low,21,8,4.165,Health Sciences,Pharmacy
S02061,27,Male,39,Reading/Writing,1,Yes,88,72,95,Yes,Medium,24,5,4.07,Engineering,Mechanical
S02062,24,Female,6,Reading/Writing,13,No,80,60,54,Yes,Low,8,8,3.24,Business and Finance,Business Administration
S02063,22,Female,31,Auditory,17,Yes,88,54,79,Yes,Medium,21,4,3.46,Business and Finance,Business Administration
S02064,29,Male,44,Auditory,6,Yes,83,48,56,Yes,Low,1,8,3.005,Engineering,Electronic
S02065,22,Female,5,Kinesthetic,8,Yes,54,81,52,Yes,Medium,13,4,3.355,Business and Finance,Business Administration
S02066,20,Male,45,Auditory,20,Yes,77,46,83,Yes,Low,9,4,3.135,Engineering,Mechanical
S02067,27,Male,10,Kinesthetic,11,Yes,75,77,96,Yes,Low,16,6,4.01,Health Sciences,Nursing
,,,,,,No,,,,,,,,0,Engineering,Electrical
S02069,27,Male,16,Visual,8,Yes,75,51,62,Yes,High,27,8,3.02,Engineering,Computer
S02070,19,Female,20,Visual,14,Yes,64,63,81,Yes,Medium,11,6,3.345,Business and Finance,Business Administration
S02071,20,Female,10,Visual,2,Yes,78,99,74,No,Low,12,4,4.385,Engineering,Electronic
S02072,27,Female,26,Visual,14,Yes,62,69,56,No,High,30,7,3.215,Business and Finance,Entrepreneurship
S02073,22,Female,19,Kinesthetic,4,Yes,55,67,63,No,High,12,5,3.13,Health Sciences,Medical Technology
S02074,27,Female,18,Kinesthetic,5,Yes,85,72,58,Yes,Medium,4,5,3.655,Business and Finance,Economics
S02075,24,Male,25,Kinesthetic,8,Yes,95,82,89,Yes,Medium,1,9,4.365,Health Sciences,Pharmacy
S02076,26,Female,42,Auditory,17,Yes,88,75,54,No,Medium,0,8,3.735,Engineering,Electrical
S02077,23,Female,28,Visual,18,No,59,43,90,Yes,Low,12,8,2.86,Engineering,Computer
S02078,28,Male,38,Visual,12,No,82,95,60,Yes,Medium,22,8,4.205,Business and Finance,Business Administration
S02079,18,Male,31,Auditory,18,Yes,59,79,85,Yes,Medium,10,4,3.71,Health Sciences,Medical Technology
S02080,28,Male,49,Kinesthetic,13,No,50,81,87,No,Medium,14,8,3.645,Engineering,Computer
S02081,25,Male,39,Visual,20,Yes,65,67,99,Yes,Medium,14,9,3.64,Health Sciences,Pharmacy
S02082,27,Male,26,Reading/Writing,16,Yes,64,87,51,No,Low,9,4,3.645,Business and Finance,Entrepreneurship
S02083,18,Male,41,Kinesthetic,7,No,61,75,97,Yes,Low,3,7,3.76,Engineering,Electronic
S02084,18,Female,33,Reading/Writing,1,Yes,92,76,72,Yes,Low,4,7,4,Health Sciences,Medical Technology
S02085,20,Male,13,Visual,14,No,85,90,62,Yes,Low,15,5,4.145,Engineering,Mechanical
S02086,19,Male,42,Reading/Writing,0,No,56,53,88,Yes,Medium,13,5,3.045,Business and Finance,Business Administration
S02087,21,Male,36,Kinesthetic,1,No,72,50,65,No,Low,30,6,2.98,Health Sciences,Nursing
S02088,27,Female,13,Visual,8,Yes,68,96,82,No,Medium,23,8,4.24,Engineering,Electronic
S02089,24,Female,36,Visual,15,Yes,99,51,91,Yes,Medium,25,4,3.67,Engineering,Electronic
S02090,20,Female,24,Visual,14,Yes,74,72,72,Yes,Medium,3,5,3.63,Engineering,Computer
S02091,18,Male,36,Reading/Writing,11,No,93,53,87,Yes,Low,25,8,3.59,Business and Finance,Business Administration
S02092,28,Male,46,Reading/Writing,15,Yes,87,99,71,No,High,3,9,4.49,Business and Finance,Economics
S02093,20,Male,40,Visual,17,No,100,79,98,Yes,Low,25,8,4.455,Health Sciences,Public Health
S02094,29,Male,18,Visual,4,No,66,62,52,Yes,High,26,9,3.06,Engineering,Computer
S02095,24,Female,49,Visual,3,Yes,50,66,78,Yes,High,3,7,3.18,Business and Finance,Entrepreneurship
S02096,24,Female,29,Auditory,7,No,95,83,56,No,Medium,6,10,4.06,Business and Finance,Economics
S02097,29,Female,14,Reading/Writing,2,Yes,60,84,86,No,Medium,3,9,3.86,Business and Finance,Business Administration
S02098,25,Female,45,Auditory,0,Yes,68,95,89,Yes,Medium,25,8,4.285,Business and Finance,Entrepreneurship
S02099,27,Male,19,Reading/Writing,14,No,62,46,54,No,Medium,7,10,2.62,Engineering,Electrical
S02100,19,Male,33,Visual,15,Yes,95,84,51,Yes,High,7,5,4.035,Business and Finance,Entrepreneurship
S02101,24,Male,33,Auditory,15,No,64,65,52,No,High,18,7,3.105,Engineering,Computer
S02102,24,Other,44,Kinesthetic,17,Yes,64,95,75,Yes,Low,24,10,4.085,Business and Finance,Economics
S02103,27,Male,37,Auditory,8,No,52,98,86,Yes,Low,6,10,4.09,Engineering,Electrical
S02104,19,Male,26,Reading/Writing,0,Yes,86,52,82,Yes,Low,2,5,3.41,Business and Finance,Entrepreneurship
S02105,19,Female,39,Auditory,15,Yes,99,40,65,Yes,Medium,6,10,3.135,Business and Finance,Accountancy
S02106,27,Male,35,Visual,4,Yes,97,97,86,No,Medium,30,6,4.74,Business and Finance,Entrepreneurship
S02107,23,Male,22,Visual,0,Yes,83,83,51,Yes,High,17,9,3.83,Health Sciences,Public Health
S02108,18,Male,23,Kinesthetic,9,No,70,41,90,No,Medium,13,10,2.975,Engineering,Electrical
S02109,26,Male,17,Auditory,9,Yes,92,78,59,Yes,High,0,6,3.92,Business and Finance,Entrepreneurship
S02110,29,Female,46,Kinesthetic,8,No,92,59,85,Yes,Low,27,4,3.705,Engineering,Electronic
S02111,26,Female,43,Auditory,9,Yes,93,51,77,Yes,Medium,3,10,3.44,Business and Finance,Economics
S02112,28,Male,48,Reading/Writing,10,Yes,61,85,69,Yes,High,15,9,3.73,Health Sciences,Pharmacy
S02113,27,Male,48,Reading/Writing,19,No,77,79,90,No,Medium,24,9,4.03,Business and Finance,Entrepreneurship
S02114,19,Male,10,Kinesthetic,8,No,96,85,76,Yes,Medium,28,4,4.325,Business and Finance,Accountancy
S02115,18,Male,23,Visual,8,No,56,61,89,Yes,High,19,9,3.255,Health Sciences,Nursing
S02116,27,Male,17,Auditory,1,Yes,79,68,67,Yes,Medium,28,8,3.555,Business and Finance,Business Administration
S02117,27,Female,42,Visual,0,No,51,94,50,Yes,High,27,6,3.615,Engineering,Electrical
S02118,24,Male,40,Kinesthetic,8,No,52,73,72,Yes,Medium,10,8,3.325,Business and Finance,Economics
S02119,28,Other,28,Visual,11,No,50,52,91,Yes,High,14,10,2.96,Business and Finance,Entrepreneurship
S02120,21,Male,42,Kinesthetic,3,Yes,92,58,79,No,Medium,9,10,3.62,Engineering,Mechanical
S02121,25,Male,37,Kinesthetic,15,Yes,74,91,84,Yes,Medium,18,5,4.225,Engineering,Electrical
S02122,19,Female,32,Visual,0,Yes,95,41,64,No,Medium,12,9,3.09,Engineering,Electronic
S02123,28,Male,41,Visual,9,Yes,71,91,65,Yes,Medium,7,4,3.99,Engineering,Computer
S02124,28,Female,14,Reading/Writing,8,Yes,51,81,68,No,Medium,25,9,3.47,Health Sciences,Nursing
S02125,23,Male,39,Visual,10,No,83,54,92,No,Low,19,5,3.515,Health Sciences,Public Health
S02126,25,Male,28,Reading/Writing,7,Yes,80,67,82,Yes,Low,8,4,3.695,Engineering,Electronic
S02127,25,Male,12,Reading/Writing,5,No,55,84,99,Yes,Medium,21,8,3.915,Business and Finance,Business Administration
S02128,21,Male,14,Visual,14,Yes,52,92,63,Yes,Medium,10,5,3.71,Business and Finance,Entrepreneurship
S02129,20,Female,9,Kinesthetic,10,Yes,73,99,98,Yes,Medium,3,6,4.55,Health Sciences,Medical Technology
S02130,29,Female,39,Reading/Writing,13,No,98,97,88,Yes,Low,30,4,4.775,Health Sciences,Nursing
S02131,25,Male,20,Reading/Writing,2,Yes,55,70,100,Yes,Medium,26,4,3.575,Business and Finance,Accountancy
S02132,22,Male,25,Auditory,4,No,53,45,88,Yes,Medium,20,5,2.8,Health Sciences,Public Health
S02133,25,Male,32,Kinesthetic,17,Yes,86,47,87,Yes,High,20,8,3.335,Engineering,Electronic
S02134,27,Male,10,Visual,10,No,75,51,54,No,Low,11,9,2.94,Health Sciences,Public Health
S02135,27,Female,32,Auditory,9,Yes,91,79,63,No,High,19,10,3.97,Business and Finance,Entrepreneurship
S02136,19,Female,48,Visual,0,Yes,82,83,51,Yes,Low,8,7,3.815,Business and Finance,Economics
S02137,23,Male,21,Kinesthetic,9,Yes,68,56,70,Yes,Medium,4,8,3.12,Engineering,Electrical
S02138,26,Male,40,Visual,0,No,51,40,70,Yes,Low,28,4,2.465,Engineering,Computer
S02139,28,Female,15,Kinesthetic,14,Yes,73,57,72,No,Low,29,8,3.24,Engineering,Electronic
S02140,22,Male,7,Visual,3,Yes,96,82,65,Yes,Medium,15,5,4.14,Business and Finance,Accountancy
S02141,24,Male,32,Kinesthetic,8,Yes,64,91,61,Yes,Medium,10,7,3.845,Engineering,Computer
S02142,26,Female,5,Kinesthetic,15,Yes,53,75,63,Yes,Medium,29,4,3.3,Engineering,Electronic
S02143,29,Other,29,Kinesthetic,11,Yes,93,86,61,Yes,Low,0,7,4.155,Business and Finance,Economics
S02144,27,Other,40,Kinesthetic,5,Yes,98,94,79,Yes,High,6,6,4.61,Health Sciences,Medical Technology
S02145,20,Female,35,Kinesthetic,14,Yes,89,72,72,Yes,Medium,1,10,3.855,Health Sciences,Pharmacy
S02146,27,Female,15,Visual,11,No,70,93,92,Yes,Low,18,5,4.295,Engineering,Electrical
S02147,27,Male,21,Visual,7,No,80,58,69,No,Medium,19,9,3.34,Engineering,Electronic
,20,,13,,,,,,,,,,,0,Engineering,Electrical
S02149,18,Male,41,Kinesthetic,10,Yes,58,100,52,Yes,Medium,26,4,3.89,Health Sciences,Medical Technology
S02150,23,Male,38,Auditory,6,Yes,64,83,60,Yes,High,4,10,3.635,Engineering,Electrical
S02151,23,Female,45,Auditory,8,No,74,82,94,Yes,Medium,17,5,4.1,Business and Finance,Accountancy
S02152,24,Male,18,Reading/Writing,7,Yes,51,66,92,Yes,High,8,9,3.335,Engineering,Mechanical
S02153,18,Female,7,Visual,18,Yes,77,66,61,No,Medium,7,4,3.415,Business and Finance,Accountancy
S02154,29,Female,43,Reading/Writing,7,Yes,84,63,69,No,Medium,25,10,3.525,Engineering,Computer
S02155,18,Female,39,Kinesthetic,16,Yes,80,92,65,Yes,Medium,17,4,4.15,Engineering,Computer
S02156,23,Female,36,Visual,17,No,63,61,52,No,Low,21,10,2.99,Engineering,Electrical
S02157,24,Female,40,Kinesthetic,5,No,80,80,79,No,Medium,6,4,3.99,Business and Finance,Business Administration
S02158,23,Female,12,Visual,6,Yes,69,92,86,Yes,Medium,21,9,4.195,Business and Finance,Economics
S02159,27,Male,33,Visual,15,Yes,98,85,80,No,Low,28,6,4.395,Business and Finance,Entrepreneurship
S02160,29,Male,14,Auditory,16,No,94,63,59,Yes,Low,19,5,3.575,Engineering,Computer
S02161,25,Female,49,Visual,5,No,88,95,74,Yes,Medium,2,6,4.435,Business and Finance,Accountancy
S02162,18,Male,31,Auditory,4,No,66,43,86,Yes,High,6,10,2.925,Engineering,Computer
S02163,25,Female,9,Visual,2,Yes,95,78,94,No,High,24,10,4.315,Business and Finance,Business Administration
S02164,25,Female,27,Reading/Writing,3,Yes,59,46,97,No,Low,4,8,3.005,Business and Finance,Entrepreneurship
S02165,27,Male,46,Kinesthetic,13,No,83,50,100,No,Low,11,10,3.495,Engineering,Electronic
,,Male,32,Reading/Writing,,Yes,100,55,,Yes,,14,5,2.875,Business and Finance,Economics
S02167,19,Female,34,Kinesthetic,1,No,57,60,53,Yes,Medium,30,7,2.885,Business and Finance,Economics
S02168,26,Female,40,Kinesthetic,17,No,63,68,99,Yes,Medium,28,10,3.635,Engineering,Electrical
S02169,24,Female,47,Kinesthetic,0,No,71,85,86,Yes,Medium,9,6,4.05,Business and Finance,Economics
S02170,18,Male,16,Visual,19,No,73,80,98,No,Low,18,10,4.075,Health Sciences,Pharmacy
S02171,21,Female,30,Visual,11,Yes,79,84,51,Yes,Medium,27,4,3.795,Engineering,Electronic
S02172,22,Female,46,Reading/Writing,15,Yes,92,93,60,No,Medium,21,10,4.305,Health Sciences,Pharmacy
S02173,18,Female,45,Reading/Writing,15,No,94,71,98,No,Low,6,8,4.165,Engineering,Mechanical
S02174,18,Male,25,Kinesthetic,7,No,81,61,70,Yes,Medium,17,4,3.44,Health Sciences,Medical Technology
S02175,21,Female,6,Kinesthetic,0,No,90,76,84,No,Medium,17,5,4.09,Health Sciences,Public Health
S02176,25,Male,17,Auditory,2,Yes,54,81,84,Yes,Medium,12,9,3.675,Business and Finance,Business Administration
S02177,21,Female,15,Visual,4,Yes,97,51,81,Yes,Medium,0,8,3.54,Engineering,Electronic
S02178,24,Male,49,Visual,8,Yes,83,62,66,Yes,High,6,6,3.455,Engineering,Computer
S02179,29,Female,44,Kinesthetic,17,Yes,79,53,82,Yes,Medium,28,6,3.33,Engineering,Computer
S02180,21,Male,31,Visual,19,No,61,44,95,Yes,Medium,3,4,2.965,Health Sciences,Nursing
S02181,19,Male,17,Kinesthetic,18,No,78,73,61,Yes,Medium,11,10,3.605,Business and Finance,Accountancy
S02182,26,Female,17,Visual,5,No,60,84,70,Yes,Medium,9,10,3.7,Health Sciences,Pharmacy
S02183,25,Male,13,Reading/Writing,15,No,66,77,69,No,Medium,23,6,3.605,Business and Finance,Business Administration
S02184,27,Male,48,Auditory,5,Yes,75,64,55,Yes,Medium,0,7,3.275,Health Sciences,Pharmacy
S02185,22,Male,39,Visual,2,No,92,64,57,Yes,High,14,6,3.55,Health Sciences,Nursing
S02186,19,Female,7,Kinesthetic,5,Yes,82,55,52,Yes,Medium,6,7,3.125,Engineering,Electronic
S02187,19,Male,25,Reading/Writing,17,No,71,70,74,No,Medium,16,9,3.555,Health Sciences,Medical Technology
S02188,20,Female,6,Visual,5,Yes,65,74,51,No,High,24,8,3.335,Health Sciences,Medical Technology
S02189,20,Male,22,Visual,20,No,80,49,54,Yes,Medium,20,4,2.965,Health Sciences,Public Health
S02190,19,Female,47,Visual,20,Yes,83,80,72,Yes,Low,20,9,3.965,Health Sciences,Pharmacy
S02191,29,Male,13,Visual,12,No,57,51,71,Yes,Medium,21,8,2.84,Health Sciences,Public Health
S02192,24,Male,41,Reading/Writing,6,Yes,74,97,87,Yes,Medium,28,5,4.405,Health Sciences,Medical Technology
S02193,18,Female,15,Visual,18,No,63,94,95,No,High,20,9,4.245,Business and Finance,Business Administration
S02194,29,Male,5,Kinesthetic,9,Yes,59,95,58,Yes,Medium,12,7,3.84,Business and Finance,Accountancy
S02195,29,Female,27,Visual,18,No,93,55,64,Yes,Medium,11,7,3.41,Engineering,Electrical
S02196,22,Female,42,Kinesthetic,14,No,70,94,51,Yes,Low,24,9,3.91,Engineering,Electronic
S02197,27,Male,23,Reading/Writing,12,Yes,92,67,60,No,Low,19,4,3.655,Business and Finance,Economics
S02198,26,Male,8,Kinesthetic,18,Yes,75,66,76,Yes,Medium,13,6,3.535,Health Sciences,Nursing
S02199,24,Male,30,Reading/Writing,6,Yes,84,90,89,Yes,Low,17,8,4.4,Business and Finance,Accountancy
S02200,25,Male,20,Kinesthetic,0,No,53,94,58,Yes,High,26,4,3.725,Engineering,Computer
S02201,25,Male,6,Visual,1,Yes,60,72,53,Yes,Medium,20,7,3.23,Health Sciences,Public Health
S02202,29,Male,22,Reading/Writing,14,No,73,45,54,Yes,Low,1,6,2.76,Engineering,Electronic
S02203,25,Male,10,Visual,0,Yes,82,62,83,Yes,High,30,10,3.61,Health Sciences,Medical Technology
S02204,27,Female,45,Kinesthetic,18,Yes,88,51,71,Yes,High,28,8,3.305,Engineering,Electrical
S02205,20,Male,46,Kinesthetic,0,No,71,55,70,Yes,Low,15,6,3.14,Business and Finance,Economics
S02206,23,Female,44,Auditory,3,No,91,76,81,No,Medium,16,6,4.075,Health Sciences,Public Health
S02207,24,Male,6,Auditory,9,Yes,87,91,52,Yes,High,17,8,4.1,Health Sciences,Medical Technology
S02208,27,Female,18,Visual,17,Yes,71,85,90,Yes,Medium,24,5,4.09,Health Sciences,Public Health
S02209,23,Female,45,Reading/Writing,4,Yes,64,61,58,Yes,Medium,8,8,3.065,Business and Finance,Economics
S02210,24,Female,18,Visual,13,Yes,96,45,88,No,Medium,24,4,3.445,Engineering,Computer
S02211,19,Female,21,Kinesthetic,3,No,51,65,74,Yes,Low,22,9,3.13,Engineering,Mechanical
S02212,19,Male,13,Visual,15,Yes,91,75,69,Yes,High,9,10,3.93,Engineering,Electronic
S02213,21,Male,40,Auditory,4,Yes,67,90,83,No,Low,19,5,4.085,Engineering,Mechanical
S02214,26,Female,16,Kinesthetic,16,Yes,61,61,82,Yes,Low,27,9,3.26,Business and Finance,Business Administration
S02215,27,Male,31,Auditory,9,No,58,93,68,Yes,Medium,4,7,3.875,Engineering,Electronic
S02216,25,Female,29,Kinesthetic,5,Yes,64,100,62,No,Medium,1,10,4.08,Business and Finance,Accountancy
S02217,19,Male,35,Visual,20,No,60,83,59,Yes,High,17,5,3.565,Business and Finance,Accountancy
S02218,27,Female,32,Visual,7,No,71,73,66,Yes,Medium,5,8,3.55,Engineering,Computer
S02219,24,Female,25,Visual,17,No,88,51,84,Yes,Low,3,7,3.435,Business and Finance,Accountancy
S02220,19,Female,28,Kinesthetic,17,Yes,73,97,55,No,Medium,0,8,4.07,Business and Finance,Accountancy
S02221,27,Female,44,Visual,18,Yes,73,75,70,No,Low,28,6,3.67,Engineering,Computer
S02222,22,Female,32,Kinesthetic,5,No,75,49,73,Yes,High,21,10,3.08,Health Sciences,Pharmacy
S02223,27,Male,48,Reading/Writing,18,No,61,79,80,Yes,High,23,4,3.69,Business and Finance,Accountancy
S02224,22,Male,19,Auditory,10,No,62,88,92,Yes,Low,5,8,4.05,Business and Finance,Economics
S02225,26,Female,35,Visual,12,No,92,56,61,Yes,Low,15,9,3.39,Health Sciences,Pharmacy
S02226,20,Male,28,Auditory,17,No,81,76,72,No,Medium,6,9,3.835,Engineering,Electrical
S02227,24,Other,9,Auditory,10,Yes,54,48,93,No,Medium,3,9,2.94,Health Sciences,Nursing
S02228,20,Male,6,Auditory,1,Yes,70,79,92,No,Medium,8,4,3.945,Health Sciences,Pharmacy
S02229,22,Other,46,Auditory,10,Yes,51,93,85,Yes,Low,15,10,3.94,Business and Finance,Accountancy
S02230,21,Male,33,Kinesthetic,19,Yes,81,64,87,No,High,17,8,3.685,Health Sciences,Public Health
S02231,24,Male,18,Reading/Writing,4,No,65,56,91,Yes,Medium,1,5,3.285,Engineering,Electronic
S02232,27,Female,49,Kinesthetic,3,Yes,93,97,75,No,Medium,22,8,4.57,Business and Finance,Business Administration
,,,,,19,,78,,93,Yes,High,,,2.1,Business and Finance,Entrepreneurship
S02234,29,,36,,2,,63,83,74,Yes,,24,,3.76,Business and Finance,Economics
S02235,20,Female,10,Kinesthetic,13,Yes,71,95,65,Yes,Medium,9,4,4.09,Health Sciences,Public Health
S02236,20,Male,17,Kinesthetic,4,Yes,77,84,98,Yes,Medium,15,4,4.235,Health Sciences,Nursing
S02237,26,Male,13,Visual,16,Yes,99,94,73,Yes,Medium,14,8,4.565,Health Sciences,Public Health
S02238,22,Male,14,Visual,18,No,63,51,54,No,Medium,20,7,2.76,Business and Finance,Business Administration
S02239,29,Male,34,Auditory,8,Yes,95,63,70,No,Medium,27,8,3.7,Business and Finance,Economics
S02240,23,Female,38,Visual,12,No,52,49,74,No,Medium,25,8,2.745,Health Sciences,Pharmacy
S02241,23,Female,41,Auditory,8,Yes,75,80,57,Yes,Medium,6,9,3.695,Health Sciences,Nursing
S02242,23,Male,31,Kinesthetic,11,Yes,57,60,91,Yes,High,24,6,3.265,Health Sciences,Nursing
S02243,28,Female,21,Visual,2,No,72,61,92,Yes,Low,24,10,3.525,Business and Finance,Business Administration
S02244,27,Female,33,Visual,15,Yes,63,49,52,Yes,Low,16,4,2.69,Health Sciences,Nursing
S02245,21,Male,11,Visual,14,Yes,53,82,64,Yes,Low,30,7,3.485,Engineering,Computer
S02246,18,Female,15,Reading/Writing,9,Yes,60,92,50,Yes,Medium,25,6,3.7,Health Sciences,Medical Technology
S02247,20,Female,32,Reading/Writing,11,No,62,60,88,Yes,Medium,6,6,3.31,Business and Finance,Business Administration
S02248,22,Male,8,Visual,4,No,84,100,92,Yes,Low,16,9,4.68,Engineering,Computer
S02249,28,Male,5,Reading/Writing,7,Yes,67,57,64,No,Medium,12,5,3.07,Health Sciences,Pharmacy
,,Male,39,Reading/Writing,6,No,80,71,53,,,,5,3.505,Business and Finance,Economics
S02251,19,Female,43,Kinesthetic,4,No,82,82,94,Yes,High,6,10,4.22,Engineering,Computer
S02252,19,Male,48,Reading/Writing,12,Yes,54,53,73,Yes,Medium,15,4,2.865,Business and Finance,Business Administration
S02253,29,Male,18,Kinesthetic,16,Yes,56,76,60,No,Medium,13,8,3.34,Health Sciences,Pharmacy
S02254,25,Female,39,Auditory,10,Yes,56,93,90,Yes,Medium,27,10,4.065,Health Sciences,Public Health
,22,,17,,,,53,93,72,,High,,,3.84,Health Sciences,Medical Technology
S02256,29,Male,15,Visual,5,Yes,85,94,81,No,Medium,10,10,4.435,Health Sciences,Public Health
S02257,19,Other,47,Auditory,15,Yes,84,48,71,No,Medium,6,9,3.17,Business and Finance,Entrepreneurship
S02258,20,Female,46,Kinesthetic,13,Yes,88,79,77,Yes,Medium,10,6,4.065,Engineering,Electrical
S02259,28,Female,19,Auditory,17,No,67,66,71,Yes,Medium,4,10,3.365,Health Sciences,Nursing
S02260,22,Male,24,Kinesthetic,10,No,79,47,61,No,Medium,11,5,2.97,Health Sciences,Nursing
S02261,19,Female,11,Visual,15,No,80,53,62,Yes,Low,7,5,3.145,Health Sciences,Medical Technology
S02262,29,Male,49,Visual,17,No,54,98,92,No,High,7,5,4.18,Business and Finance,Entrepreneurship
S02263,25,Female,39,Kinesthetic,1,Yes,89,45,70,Yes,Medium,6,10,3.16,Health Sciences,Public Health
S02264,22,Female,40,Reading/Writing,2,No,75,60,59,Yes,Low,19,9,3.215,Business and Finance,Business Administration
S02265,29,Female,39,Reading/Writing,20,No,69,66,99,No,High,30,7,3.675,Business and Finance,Entrepreneurship
S02266,19,Female,5,Kinesthetic,17,Yes,80,60,52,Yes,Medium,26,8,3.22,Business and Finance,Business Administration
S02267,26,Female,22,Reading/Writing,18,No,61,88,63,No,Medium,1,8,3.745,Health Sciences,Nursing
S02268,26,Male,49,Kinesthetic,17,Yes,100,66,54,Yes,High,10,8,3.69,Business and Finance,Business Administration
S02269,28,Female,32,Kinesthetic,14,No,84,78,55,No,Medium,17,8,3.76,Health Sciences,Medical Technology
S02270,18,Male,10,Kinesthetic,0,Yes,52,85,64,Yes,Low,18,7,3.545,Engineering,Electrical
S02271,28,Male,37,Reading/Writing,3,No,72,100,99,No,Medium,12,4,4.57,Engineering,Electrical
S02272,21,Male,44,Reading/Writing,17,No,56,91,91,Yes,Low,17,9,4.025,Engineering,Electrical
S02273,19,Male,5,Visual,17,No,92,98,76,Yes,Low,6,10,4.59,Health Sciences,Pharmacy
S02274,19,Female,49,Visual,11,No,68,53,99,Yes,Medium,8,6,3.335,Business and Finance,Accountancy
S02275,22,Male,49,Auditory,19,Yes,85,49,65,No,Medium,5,10,3.15,Health Sciences,Nursing
S02276,29,Male,5,Auditory,17,No,98,54,88,Yes,Medium,10,8,3.7,Health Sciences,Nursing
S02277,28,Female,25,Visual,5,No,67,79,95,Yes,Medium,19,9,3.93,Engineering,Mechanical
S02278,23,Male,10,Kinesthetic,4,No,93,100,70,Yes,Low,28,9,4.595,Engineering,Electrical
S02279,20,Male,28,Kinesthetic,9,Yes,72,40,96,Yes,Medium,12,4,3.04,Engineering,Mechanical
S02280,24,Female,40,Visual,1,Yes,88,46,70,Yes,Low,27,9,3.17,Health Sciences,Pharmacy
S02281,21,Other,34,Reading/Writing,20,Yes,57,99,83,Yes,High,16,4,4.16,Engineering,Electrical
S02282,25,Male,42,Visual,0,Yes,54,71,67,No,High,30,7,3.255,Engineering,Mechanical
S02283,22,Male,31,Auditory,10,Yes,91,70,84,Yes,Medium,27,7,3.955,Business and Finance,Business Administration
S02284,27,Female,41,Kinesthetic,3,Yes,94,49,58,Yes,High,24,5,3.215,Business and Finance,Business Administration
S02285,18,Female,39,Kinesthetic,12,Yes,100,57,63,Yes,Low,14,9,3.555,Engineering,Computer
S02286,27,Female,11,Reading/Writing,17,No,56,63,57,Yes,Low,11,8,2.985,Engineering,Mechanical
S02287,18,Male,47,Kinesthetic,14,No,79,70,77,Yes,Medium,11,9,3.705,Health Sciences,Nursing
S02288,25,Female,48,Auditory,10,Yes,92,92,83,Yes,Medium,6,10,4.51,Engineering,Computer
S02289,28,Female,17,Reading/Writing,18,No,71,56,90,No,Medium,3,5,3.365,Health Sciences,Public Health
S02290,26,Male,38,Kinesthetic,19,Yes,85,41,58,Yes,Low,9,6,2.88,Health Sciences,Public Health
S02291,25,Female,32,Visual,13,No,97,41,52,No,Medium,28,9,3,Engineering,Electronic
S02292,19,Male,40,Visual,6,Yes,66,81,83,No,Medium,15,7,3.845,Engineering,Electrical
S02293,26,Male,36,Auditory,16,Yes,69,64,55,Yes,Medium,21,7,3.185,Health Sciences,Pharmacy
S02294,29,Male,18,Reading/Writing,12,Yes,53,64,73,No,Medium,4,9,3.125,Business and Finance,Entrepreneurship
S02295,29,Female,17,Kinesthetic,9,Yes,57,73,88,Yes,Low,12,6,3.56,Business and Finance,Accountancy
S02296,18,Male,20,Reading/Writing,3,Yes,74,91,97,No,Medium,30,10,4.355,Engineering,Mechanical
S02297,19,Female,28,Auditory,7,No,73,94,91,Yes,Low,19,8,4.355,Engineering,Electrical
S02298,25,Male,17,Visual,13,Yes,88,54,73,Yes,Medium,13,8,3.4,Health Sciences,Medical Technology
S02299,26,Male,6,Auditory,5,Yes,56,65,81,No,Low,5,4,3.275,Business and Finance,Economics
S02300,28,Male,34,Reading/Writing,6,Yes,63,60,63,No,Medium,12,8,3.075,Health Sciences,Pharmacy
S02301,21,Male,45,Auditory,14,Yes,99,64,75,Yes,Medium,14,4,3.835,Business and Finance,Economics
S02302,21,Female,35,Reading/Writing,9,Yes,70,95,65,Yes,Medium,20,6,4.075,Health Sciences,Medical Technology
S02303,22,Female,44,Reading/Writing,5,No,56,75,81,No,High,27,5,3.525,Business and Finance,Accountancy
