,Age,Gender,StudyHrs,Learning_Style,Courses_Comp,Discuss_Part,AssignRate,Exam_Score(%),AttendRate,TechUse,StressLevel,SocMediaHrs,SleepHrs,Equiv_Grade,College,Degree_Program
3064,25.0,Male,24.0,Reading/Writing,8.0,Yes,90.0,40.0,94.0,Yes,Low,1.0,4.0,3.29,Business and Finance,Entrepreneurship
3065,21.0,Male,31.0,Auditory,17.0,No,85.0,93.0,89.0,Yes,Medium,21.0,5.0,4.49,Health Sciences,Pharmacy
3066,29.0,Female,44.0,Kinesthetic,5.0,No,79.0,47.0,82.0,Yes,High,3.0,5.0,3.18,Engineering,Mechanical
3067,26.0,Male,28.0,Auditory,1.0,Yes,54.0,42.0,69.0,No,Low,16.0,6.0,2.55,Health Sciences,Medical Technology
3068,25.0,Female,16.0,Visual,15.0,Yes,92.0,56.0,91.0,Yes,High,28.0,6.0,3.69,Business and Finance,Business Administration
3069,26.0,Female,19.0,Visual,4.0,Yes,66.0,73.0,58.0,Yes,Low,14.0,4.0,3.395,Health Sciences,Nursing
3071,29.0,Female,46.0,Kinesthetic,11.0,Yes,51.0,55.0,54.0,No,Medium,21.0,6.0,2.68,Business and Finance,Business Administration
3072,18.0,Male,39.0,Auditory,20.0,Yes,86.0,100.0,53.0,No,High,17.0,4.0,4.32,Business and Finance,Entrepreneurship
3073,23.0,Other,21.0,Auditory,14.0,No,79.0,90.0,89.0,Yes,Medium,27.0,4.0,4.325,Health Sciences,Medical Technology
3074,27.0,Female,23.0,Kinesthetic,10.0,Yes,58.0,99.0,83.0,Yes,Low,21.0,4.0,4.175,Engineering,Computer
3075,19.0,Male,34.0,Visual,16.0,No,67.0,55.0,80.0,Yes,Medium,3.0,9.0,3.18,Engineering,Mechanical
3076,27.0,Female,7.0,Reading/Writing,4.0,No,58.0,47.0,61.0,No,High,14.0,8.0,2.655,Business and Finance,Entrepreneurship
3077,27.0,Female,35.0,Auditory,20.0,Yes,67.0,92.0,53.0,Yes,Low,26.0,8.0,3.835,Business and Finance,Entrepreneurship
3078,23.0,Female,42.0,Reading/Writing,8.0,Yes,69.0,47.0,66.0,Yes,Low,28.0,5.0,2.87,Business and Finance,Economics
3079,19.0,Female,42.0,Reading/Writing,20.0,Yes,74.0,57.0,55.0,Yes,Low,1.0,5.0,3.085,Business and Finance,Entrepreneurship
3080,25.0,Male,48.0,Reading/Writing,17.0,Yes,72.0,91.0,52.0,No,High,10.0,8.0,3.875,Health Sciences,Nursing
3081,18.0,Male,27.0,Reading/Writing,5.0,Yes,59.0,98.0,81.0,Yes,High,6.0,7.0,4.145,Business and Finance,Accountancy
3082,23.0,Male,33.0,Reading/Writing,6.0,Yes,53.0,87.0,67.0,No,High,25.0,5.0,3.64,Engineering,Mechanical
3083,24.0,Female,26.0,Visual,19.0,Yes,95.0,89.0,51.0,No,Medium,8.0,10.0,4.16,Engineering,Electronic
3084,28.0,Male,41.0,Reading/Writing,18.0,Yes,95.0,70.0,91.0,No,Low,19.0,9.0,4.085,Health Sciences,Nursing
3085,23.0,Female,10.0,Reading/Writing,1.0,No,99.0,59.0,71.0,Yes,Medium,5.0,8.0,3.67,Health Sciences,Nursing
3086,26.0,Female,30.0,Auditory,12.0,Yes,89.0,79.0,91.0,No,Low,25.0,4.0,4.22,Engineering,Electrical
3087,18.0,Male,39.0,Visual,4.0,Yes,91.0,42.0,100.0,No,High,8.0,9.0,3.415,Health Sciences,Pharmacy
3088,27.0,Female,29.0,Kinesthetic,10.0,Yes,85.0,42.0,74.0,Yes,Low,25.0,6.0,3.065,Health Sciences,Public Health
3089,26.0,Female,36.0,Reading/Writing,8.0,Yes,86.0,49.0,83.0,No,Medium,16.0,5.0,3.345,Business and Finance,Economics
3090,24.0,Female,37.0,Kinesthetic,15.0,Yes,72.0,82.0,57.0,Yes,Low,22.0,10.0,3.7,Engineering,Mechanical
3091,18.0,Male,9.0,Visual,13.0,No,59.0,41.0,69.0,Yes,Medium,16.0,9.0,2.6,Engineering,Mechanical
3092,25.0,Male,25.0,Visual,13.0,Yes,72.0,51.0,96.0,No,Medium,8.0,10.0,3.315,Engineering,Electronic
3093,27.0,Male,37.0,Visual,4.0,Yes,51.0,69.0,70.0,No,Medium,8.0,8.0,3.19,Business and Finance,Entrepreneurship
3094,28.0,Male,40.0,Kinesthetic,4.0,Yes,75.0,59.0,100.0,No,High,4.0,5.0,3.6,Health Sciences,Medical Technology
3095,22.0,Other,26.0,Reading/Writing,19.0,No,94.0,88.0,56.0,No,Medium,21.0,5.0,4.17,Business and Finance,Economics
3096,22.0,Female,7.0,Visual,15.0,Yes,92.0,78.0,79.0,No,High,13.0,8.0,4.12,Engineering,Mechanical
3097,24.0,Female,40.0,Kinesthetic,8.0,No,62.0,61.0,86.0,No,Medium,12.0,8.0,3.315,Engineering,Electronic
3098,18.0,Male,12.0,Auditory,15.0,Yes,59.0,85.0,91.0,No,Medium,16.0,4.0,3.92,Health Sciences,Public Health
3099,25.0,Female,11.0,Auditory,11.0,Yes,84.0,86.0,91.0,No,Low,1.0,7.0,4.32,Business and Finance,Entrepreneurship
3101,19.0,Male,30.0,Visual,7.0,No,56.0,46.0,70.0,Yes,Medium,12.0,4.0,2.69,Health Sciences,Pharmacy
3102,18.0,Female,48.0,Visual,7.0,Yes,60.0,61.0,96.0,Yes,Medium,30.0,8.0,3.385,Engineering,Computer
3103,24.0,Female,19.0,Reading/Writing,0.0,No,71.0,80.0,99.0,No,Low,2.0,4.0,4.055,Business and Finance,Business Administration
3104,25.0,Male,35.0,Visual,12.0,Yes,65.0,76.0,53.0,Yes,Medium,8.0,4.0,3.405,Health Sciences,Nursing
3105,25.0,Male,40.0,Visual,13.0,Yes,76.0,55.0,54.0,No,Medium,28.0,7.0,3.055,Engineering,Electronic
3106,22.0,Male,36.0,Auditory,14.0,Yes,79.0,63.0,89.0,Yes,Medium,24.0,6.0,3.65,Engineering,Computer
3107,19.0,Male,36.0,Kinesthetic,2.0,Yes,82.0,71.0,78.0,No,Medium,23.0,5.0,3.785,Engineering,Mechanical
3108,19.0,Female,33.0,Visual,14.0,Yes,56.0,60.0,94.0,Yes,High,8.0,9.0,3.28,Health Sciences,Medical Technology
3109,21.0,Male,15.0,Kinesthetic,4.0,No,58.0,95.0,57.0,Yes,High,7.0,4.0,3.815,Business and Finance,Accountancy
3110,19.0,Other,31.0,Visual,16.0,Yes,58.0,96.0,81.0,Yes,High,9.0,6.0,4.08,Business and Finance,Economics
3111,25.0,Female,48.0,Visual,10.0,No,79.0,95.0,67.0,No,Low,4.0,5.0,4.23,Engineering,Computer
3112,20.0,Male,35.0,Reading/Writing,4.0,Yes,71.0,54.0,72.0,Yes,Medium,29.0,9.0,3.135,Business and Finance,Business Administration
3113,19.0,Male,12.0,Visual,15.0,Yes,70.0,42.0,66.0,Yes,High,28.0,8.0,2.76,Engineering,Electrical
3114,19.0,Male,16.0,Visual,1.0,No,61.0,66.0,74.0,Yes,Medium,4.0,5.0,3.305,Health Sciences,Medical Technology
3115,18.0,Female,47.0,Kinesthetic,20.0,No,60.0,85.0,92.0,Yes,Low,25.0,7.0,3.945,Engineering,Electronic
3116,26.0,Male,15.0,Kinesthetic,3.0,Yes,57.0,48.0,58.0,Yes,High,3.0,6.0,2.635,Health Sciences,Medical Technology
3117,18.0,Female,13.0,Visual,4.0,No,78.0,47.0,58.0,No,Medium,22.0,9.0,2.925,Engineering,Electronic
3118,22.0,Female,42.0,Kinesthetic,7.0,No,87.0,82.0,68.0,Yes,Low,5.0,6.0,4.035,Health Sciences,Nursing
3119,21.0,Male,38.0,Kinesthetic,13.0,Yes,57.0,93.0,85.0,Yes,Medium,12.0,10.0,4.03,Health Sciences,Nursing
3120,23.0,Male,24.0,Auditory,11.0,Yes,66.0,98.0,78.0,Yes,Medium,7.0,8.0,4.22,Health Sciences,Nursing
3121,29.0,Female,34.0,Kinesthetic,20.0,No,90.0,75.0,78.0,Yes,Medium,7.0,10.0,4.005,Health Sciences,Medical Technology
3122,27.0,Female,30.0,Visual,2.0,Yes,76.0,43.0,50.0,Yes,Medium,30.0,7.0,2.715,Engineering,Computer
3123,20.0,Female,10.0,Auditory,1.0,Yes,53.0,96.0,57.0,Yes,Medium,17.0,10.0,3.765,Engineering,Computer
3124,26.0,Male,15.0,Kinesthetic,15.0,No,59.0,95.0,84.0,Yes,Medium,30.0,6.0,4.1,Business and Finance,Accountancy
3125,21.0,Male,39.0,Kinesthetic,5.0,Yes,80.0,51.0,82.0,No,Low,16.0,5.0,3.295,Business and Finance,Business Administration
3126,18.0,Female,36.0,Auditory,14.0,No,50.0,86.0,63.0,No,Low,12.0,6.0,3.53,Health Sciences,Nursing
3127,22.0,Female,37.0,Auditory,3.0,Yes,92.0,42.0,97.0,Yes,Medium,25.0,10.0,3.4,Business and Finance,Entrepreneurship
3128,22.0,Male,22.0,Visual,15.0,No,65.0,96.0,53.0,Yes,Low,9.0,9.0,3.905,Business and Finance,Economics
3129,20.0,Male,40.0,Auditory,12.0,No,73.0,77.0,71.0,Yes,Low,19.0,10.0,3.73,Engineering,Electrical
3130,29.0,Female,44.0,Visual,1.0,Yes,88.0,49.0,62.0,Yes,High,25.0,10.0,3.165,Business and Finance,Entrepreneurship
3131,20.0,Female,5.0,Reading/Writing,12.0,Yes,83.0,42.0,78.0,Yes,High,22.0,4.0,3.075,Engineering,Computer
3132,18.0,Female,12.0,Reading/Writing,17.0,No,92.0,61.0,91.0,Yes,Medium,30.0,9.0,3.815,Engineering,Computer
3133,19.0,Female,37.0,Visual,2.0,Yes,54.0,52.0,84.0,Yes,High,29.0,9.0,2.95,Health Sciences,Public Health
3134,18.0,Female,36.0,Auditory,13.0,Yes,95.0,99.0,90.0,Yes,Medium,13.0,10.0,4.8,Health Sciences,Nursing
3135,28.0,Female,44.0,Kinesthetic,16.0,Yes,86.0,80.0,96.0,Yes,Medium,8.0,6.0,4.25,Engineering,Electrical
3136,27.0,Male,26.0,Visual,1.0,No,79.0,95.0,95.0,No,High,27.0,6.0,4.51,Business and Finance,Accountancy
3137,24.0,Female,39.0,Reading/Writing,10.0,No,67.0,52.0,64.0,Yes,Medium,13.0,4.0,2.945,Health Sciences,Pharmacy
3138,29.0,Male,35.0,Reading/Writing,20.0,Yes,60.0,58.0,62.0,Yes,Low,19.0,5.0,2.97,Engineering,Mechanical
3139,28.0,Female,33.0,Visual,0.0,No,100.0,43.0,57.0,Yes,Medium,8.0,4.0,3.145,Business and Finance,Economics
3140,19.0,Male,11.0,Kinesthetic,15.0,Yes,81.0,59.0,84.0,No,Low,17.0,8.0,3.53,Business and Finance,Business Administration
3141,29.0,Male,21.0,Auditory,10.0,No,58.0,68.0,90.0,No,Low,5.0,4.0,3.47,Engineering,Mechanical
3142,24.0,Male,15.0,Reading/Writing,19.0,No,70.0,68.0,70.0,No,High,25.0,7.0,3.45,Business and Finance,Accountancy
3143,18.0,Male,49.0,Auditory,4.0,Yes,71.0,92.0,79.0,Yes,Low,30.0,8.0,4.155,Engineering,Electrical
3144,21.0,Female,47.0,Auditory,0.0,No,58.0,47.0,52.0,Yes,High,12.0,8.0,2.565,Business and Finance,Entrepreneurship
3146,27.0,Male,7.0,Auditory,5.0,No,83.0,79.0,68.0,Yes,Low,25.0,9.0,3.9,Business and Finance,Entrepreneurship
3147,20.0,Male,19.0,Kinesthetic,18.0,Yes,85.0,83.0,74.0,Yes,Low,18.0,8.0,4.09,Health Sciences,Medical Technology
3148,28.0,Male,38.0,Kinesthetic,16.0,Yes,66.0,43.0,57.0,Yes,High,16.0,5.0,2.635,Business and Finance,Business Administration
3149,25.0,Other,47.0,Visual,14.0,Yes,71.0,65.0,83.0,Yes,Low,10.0,10.0,3.52,Health Sciences,Pharmacy
3150,18.0,Other,26.0,Kinesthetic,14.0,Yes,86.0,96.0,57.0,No,Medium,9.0,10.0,4.26,Engineering,Electrical
3151,26.0,Male,30.0,Kinesthetic,16.0,No,80.0,49.0,57.0,No,High,27.0,9.0,2.995,Health Sciences,Pharmacy
3152,22.0,Female,34.0,Auditory,11.0,Yes,72.0,94.0,88.0,Yes,Low,5.0,7.0,4.31,Engineering,Mechanical
3153,21.0,Male,13.0,Visual,5.0,Yes,69.0,61.0,79.0,Yes,Low,27.0,7.0,3.35,Health Sciences,Medical Technology
3155,20.0,Male,11.0,Reading/Writing,2.0,Yes,63.0,49.0,90.0,Yes,Medium,17.0,9.0,3.07,Business and Finance,Entrepreneurship
3156,24.0,Female,22.0,Auditory,0.0,Yes,57.0,70.0,74.0,Yes,Medium,5.0,8.0,3.345,Engineering,Mechanical
3157,21.0,Female,34.0,Visual,14.0,Yes,98.0,52.0,66.0,No,Low,19.0,10.0,3.43,Engineering,Electrical
3158,19.0,Male,38.0,Reading/Writing,16.0,No,94.0,56.0,57.0,Yes,Low,14.0,7.0,3.38,Health Sciences,Medical Technology
3159,18.0,Male,44.0,Auditory,17.0,No,60.0,93.0,88.0,Yes,Low,11.0,5.0,4.105,Engineering,Electronic
3161,20.0,Male,35.0,Visual,3.0,Yes,95.0,74.0,54.0,Yes,High,20.0,7.0,3.815,Health Sciences,Nursing
3162,27.0,Female,33.0,Auditory,7.0,Yes,52.0,73.0,89.0,No,High,26.0,7.0,3.495,Engineering,Electrical
3163,24.0,Male,23.0,Visual,17.0,Yes,95.0,73.0,65.0,Yes,High,23.0,4.0,3.9,Engineering,Mechanical
3164,26.0,Female,21.0,Kinesthetic,17.0,Yes,67.0,57.0,100.0,Yes,High,20.0,7.0,3.43,Business and Finance,Business Administration
3165,26.0,Male,33.0,Kinesthetic,9.0,Yes,78.0,70.0,83.0,Yes,Medium,7.0,7.0,3.75,Health Sciences,Pharmacy
3166,27.0,Female,27.0,Reading/Writing,4.0,No,84.0,73.0,94.0,Yes,Medium,24.0,8.0,4.025,Health Sciences,Public Health
3167,28.0,Female,31.0,Auditory,3.0,No,69.0,46.0,56.0,Yes,Low,18.0,9.0,2.745,Engineering,Computer
3168,23.0,Female,24.0,Visual,18.0,No,92.0,86.0,82.0,Yes,Medium,1.0,10.0,4.35,Engineering,Computer
3169,18.0,Female,7.0,Reading/Writing,10.0,Yes,85.0,43.0,58.0,Yes,Medium,21.0,8.0,2.93,Engineering,Electrical
3170,19.0,Male,46.0,Auditory,12.0,Yes,66.0,41.0,96.0,Yes,Medium,20.0,8.0,2.975,Business and Finance,Business Administration
3171,28.0,Other,45.0,Auditory,7.0,Yes,56.0,60.0,54.0,Yes,High,15.0,10.0,2.88,Business and Finance,Entrepreneurship
3172,27.0,Female,37.0,Reading/Writing,18.0,No,65.0,77.0,75.0,No,Medium,7.0,4.0,3.65,Health Sciences,Medical Technology
3173,26.0,Male,29.0,Auditory,20.0,Yes,66.0,90.0,86.0,Yes,Low,7.0,10.0,4.1,Engineering,Electrical
3174,27.0,Male,6.0,Reading/Writing,7.0,No,83.0,86.0,85.0,Yes,Medium,19.0,4.0,4.245,Health Sciences,Nursing
3175,24.0,Female,19.0,Visual,12.0,No,68.0,73.0,100.0,Yes,Medium,21.0,4.0,3.845,Engineering,Computer
3176,25.0,Male,45.0,Visual,12.0,No,99.0,63.0,97.0,No,Medium,6.0,4.0,4.03,Business and Finance,Business Administration
3177,24.0,Male,41.0,Auditory,14.0,No,92.0,100.0,54.0,Yes,Medium,15.0,6.0,4.42,Health Sciences,Medical Technology
3178,27.0,Male,20.0,Visual,4.0,Yes,98.0,87.0,58.0,Yes,High,23.0,6.0,4.225,Business and Finance,Accountancy
3179,28.0,Female,45.0,Kinesthetic,10.0,Yes,71.0,89.0,61.0,Yes,High,16.0,10.0,3.9,Health Sciences,Medical Technology
3180,18.0,Female,46.0,Kinesthetic,11.0,Yes,96.0,100.0,92.0,Yes,High,19.0,10.0,4.86,Engineering,Mechanical
3181,23.0,Other,28.0,Auditory,2.0,Yes,68.0,61.0,79.0,Yes,Medium,28.0,10.0,3.335,Health Sciences,Public Health
3182,25.0,Male,17.0,Kinesthetic,8.0,Yes,74.0,73.0,70.0,No,Medium,25.0,7.0,3.635,Engineering,Computer
3183,22.0,Male,40.0,Auditory,0.0,Yes,78.0,92.0,78.0,Yes,Low,26.0,5.0,4.25,Health Sciences,Nursing
3184,26.0,Male,18.0,Auditory,20.0,No,93.0,92.0,68.0,No,Medium,9.0,6.0,4.375,Business and Finance,Economics
3185,18.0,Male,23.0,Auditory,3.0,No,58.0,88.0,57.0,Yes,Medium,4.0,5.0,3.64,Engineering,Electrical
3186,27.0,Male,40.0,Auditory,19.0,Yes,66.0,100.0,92.0,Yes,High,22.0,9.0,4.41,Health Sciences,Pharmacy
3187,29.0,Female,5.0,Kinesthetic,13.0,Yes,96.0,91.0,62.0,No,Low,19.0,7.0,4.335,Health Sciences,Pharmacy
3188,27.0,Female,19.0,Auditory,20.0,Yes,68.0,76.0,100.0,Yes,Low,17.0,10.0,3.92,Business and Finance,Economics
3189,26.0,Female,33.0,Reading/Writing,13.0,No,56.0,59.0,82.0,Yes,Medium,11.0,10.0,3.135,Business and Finance,Business Administration
3190,22.0,Female,41.0,Auditory,9.0,Yes,63.0,65.0,92.0,Yes,Medium,30.0,6.0,3.49,Business and Finance,Accountancy
3191,27.0,Male,41.0,Kinesthetic,13.0,No,70.0,50.0,81.0,Yes,Medium,18.0,10.0,3.11,Health Sciences,Nursing
3192,21.0,Female,24.0,Visual,7.0,Yes,57.0,56.0,61.0,No,Low,18.0,9.0,2.865,Health Sciences,Pharmacy
3193,25.0,Female,38.0,Visual,15.0,Yes,95.0,79.0,91.0,Yes,High,26.0,5.0,4.31,Business and Finance,Entrepreneurship
3194,28.0,Male,26.0,Visual,10.0,No,98.0,90.0,93.0,Yes,Low,7.0,10.0,4.65,Business and Finance,Entrepreneurship
3195,21.0,Male,24.0,Auditory,9.0,Yes,62.0,53.0,85.0,Yes,Medium,24.0,6.0,3.105,Engineering,Computer
3196,29.0,Male,20.0,Reading/Writing,20.0,Yes,64.0,48.0,96.0,No,High,9.0,5.0,3.12,Business and Finance,Entrepreneurship
3197,27.0,Other,8.0,Auditory,10.0,Yes,70.0,94.0,88.0,Yes,Medium,1.0,10.0,4.28,Engineering,Electronic
3198,18.0,Female,38.0,Kinesthetic,3.0,Yes,59.0,62.0,90.0,Yes,Low,15.0,7.0,3.335,Engineering,Computer
3199,19.0,Male,13.0,Reading/Writing,7.0,Yes,79.0,48.0,54.0,Yes,Medium,23.0,8.0,2.925,Engineering,Electronic
3200,28.0,Female,44.0,Reading/Writing,8.0,Yes,85.0,95.0,51.0,Yes,Low,25.0,5.0,4.16,Engineering,Mechanical
3201,20.0,Female,18.0,Auditory,11.0,Yes,70.0,88.0,54.0,Yes,Medium,14.0,10.0,3.79,Health Sciences,Public Health
3202,22.0,Female,45.0,Kinesthetic,11.0,Yes,64.0,58.0,52.0,Yes,High,6.0,7.0,2.93,Business and Finance,Accountancy
3203,21.0,Female,45.0,Kinesthetic,5.0,No,66.0,99.0,72.0,Yes,Low,6.0,10.0,4.185,Health Sciences,Pharmacy
3204,26.0,Female,13.0,Kinesthetic,1.0,Yes,94.0,81.0,90.0,Yes,Medium,0.0,4.0,4.335,Engineering,Mechanical
3205,27.0,Male,25.0,Auditory,11.0,Yes,92.0,44.0,82.0,No,Medium,1.0,7.0,3.3,Business and Finance,Economics
3206,21.0,Male,30.0,Auditory,20.0,Yes,70.0,96.0,67.0,Yes,Medium,0.0,6.0,4.12,Health Sciences,Medical Technology
3207,19.0,Female,12.0,Auditory,4.0,Yes,76.0,100.0,91.0,No,Medium,29.0,6.0,4.55,Engineering,Mechanical
3208,22.0,Male,37.0,Reading/Writing,5.0,No,52.0,61.0,81.0,Yes,Medium,22.0,6.0,3.115,Health Sciences,Nursing
3209,18.0,Female,44.0,Kinesthetic,13.0,No,85.0,42.0,58.0,Yes,Medium,26.0,6.0,2.905,Business and Finance,Economics
3210,20.0,Male,28.0,Visual,6.0,No,51.0,93.0,61.0,Yes,Low,2.0,4.0,3.7,Business and Finance,Accountancy
3211,21.0,Female,7.0,Visual,5.0,No,51.0,74.0,96.0,No,High,3.0,6.0,3.575,Engineering,Electronic
3212,19.0,Male,49.0,Visual,9.0,No,62.0,72.0,77.0,No,Medium,11.0,5.0,3.5,Health Sciences,Public Health
3213,27.0,Female,32.0,Kinesthetic,11.0,Yes,65.0,99.0,64.0,No,Medium,28.0,8.0,4.09,Business and Finance,Business Administration
3214,28.0,Male,17.0,Reading/Writing,9.0,Yes,67.0,79.0,95.0,Yes,Low,20.0,5.0,3.93,Engineering,Electronic
3215,25.0,Female,43.0,Kinesthetic,4.0,No,92.0,95.0,87.0,No,Medium,19.0,7.0,4.625,Business and Finance,Economics
3216,29.0,Female,26.0,Kinesthetic,4.0,Yes,77.0,78.0,75.0,Yes,High,28.0,6.0,3.855,Health Sciences,Pharmacy
3217,21.0,Female,36.0,Kinesthetic,7.0,Yes,57.0,58.0,61.0,No,Medium,26.0,5.0,2.915,Health Sciences,Pharmacy
3218,23.0,Male,38.0,Reading/Writing,13.0,Yes,54.0,51.0,87.0,No,Low,19.0,9.0,2.955,Business and Finance,Entrepreneurship
3219,20.0,Male,37.0,Visual,6.0,Yes,81.0,51.0,76.0,Yes,Medium,15.0,9.0,3.25,Business and Finance,Entrepreneurship
3220,26.0,Male,26.0,Auditory,6.0,No,65.0,77.0,59.0,Yes,Low,29.0,4.0,3.49,Business and Finance,Accountancy
3221,26.0,Male,39.0,Kinesthetic,12.0,Yes,51.0,86.0,97.0,Yes,Low,18.0,6.0,3.885,Business and Finance,Economics
3222,25.0,Male,40.0,Reading/Writing,2.0,No,59.0,96.0,56.0,Yes,Medium,27.0,6.0,3.845,Health Sciences,Pharmacy
3223,26.0,Male,17.0,Kinesthetic,4.0,Yes,65.0,52.0,50.0,Yes,Medium,20.0,4.0,2.775,Health Sciences,Public Health
3224,28.0,Male,49.0,Kinesthetic,13.0,Yes,96.0,80.0,62.0,No,High,22.0,7.0,4.06,Health Sciences,Pharmacy
3225,25.0,Male,10.0,Visual,18.0,No,70.0,40.0,59.0,Yes,Medium,25.0,5.0,2.64,Health Sciences,Pharmacy
3226,20.0,Female,12.0,Visual,5.0,Yes,56.0,77.0,73.0,Yes,Low,3.0,6.0,3.495,Health Sciences,Nursing
3227,27.0,Female,48.0,Reading/Writing,17.0,Yes,79.0,87.0,53.0,Yes,Medium,22.0,5.0,3.89,Engineering,Electronic
3228,27.0,Male,10.0,Kinesthetic,1.0,No,69.0,97.0,63.0,Yes,Medium,11.0,6.0,4.09,Health Sciences,Public Health
3229,28.0,Male,17.0,Kinesthetic,7.0,Yes,91.0,52.0,90.0,Yes,Medium,10.0,7.0,3.565,Business and Finance,Business Administration
3230,20.0,Female,25.0,Kinesthetic,8.0,Yes,82.0,91.0,96.0,Yes,High,18.0,7.0,4.465,Business and Finance,Entrepreneurship
3232,27.0,Female,24.0,Reading/Writing,19.0,Yes,95.0,89.0,63.0,Yes,Medium,0.0,9.0,4.28,Business and Finance,Economics
3233,18.0,Male,24.0,Kinesthetic,1.0,No,57.0,42.0,86.0,No,Medium,14.0,5.0,2.765,Health Sciences,Medical Technology
3234,28.0,Other,9.0,Auditory,5.0,No,83.0,64.0,69.0,Yes,Medium,4.0,6.0,3.535,Business and Finance,Accountancy
3235,26.0,Female,27.0,Visual,4.0,Yes,74.0,96.0,89.0,Yes,Low,9.0,4.0,4.4,Health Sciences,Public Health
3236,21.0,Female,45.0,Reading/Writing,7.0,No,97.0,82.0,78.0,Yes,Medium,11.0,7.0,4.285,Health Sciences,Nursing
3237,25.0,Male,48.0,Auditory,13.0,No,93.0,93.0,63.0,No,High,21.0,9.0,4.35,Business and Finance,Accountancy
3238,18.0,Male,28.0,Reading/Writing,15.0,Yes,88.0,92.0,71.0,Yes,Medium,0.0,10.0,4.33,Business and Finance,Business Administration
3239,20.0,Female,8.0,Auditory,16.0,Yes,80.0,51.0,75.0,Yes,Low,11.0,6.0,3.225,Business and Finance,Business Administration
3240,26.0,Female,40.0,Visual,3.0,No,77.0,71.0,100.0,No,High,24.0,10.0,3.93,Health Sciences,Medical Technology
3241,21.0,Male,32.0,Visual,8.0,Yes,78.0,44.0,100.0,No,Low,5.0,8.0,3.27,Business and Finance,Entrepreneurship
3242,19.0,Male,20.0,Auditory,8.0,Yes,98.0,65.0,88.0,Yes,High,25.0,9.0,3.975,Engineering,Electronic
3243,19.0,Male,21.0,Kinesthetic,4.0,Yes,72.0,42.0,90.0,No,Low,24.0,9.0,3.03,Business and Finance,Entrepreneurship
3244,29.0,Male,39.0,Reading/Writing,11.0,Yes,57.0,73.0,89.0,Yes,Low,19.0,7.0,3.57,Business and Finance,Business Administration
3245,26.0,Male,22.0,Visual,12.0,Yes,60.0,65.0,77.0,Yes,High,20.0,6.0,3.295,Engineering,Electrical
3246,18.0,Male,25.0,Visual,17.0,Yes,81.0,63.0,75.0,Yes,High,21.0,8.0,3.54,Health Sciences,Pharmacy
3247,25.0,Female,45.0,Kinesthetic,11.0,Yes,91.0,72.0,67.0,No,Medium,19.0,7.0,3.835,Health Sciences,Medical Technology
3248,29.0,Female,31.0,Visual,15.0,Yes,76.0,93.0,60.0,Yes,Medium,26.0,8.0,4.065,Business and Finance,Economics
3249,23.0,Male,32.0,Reading/Writing,6.0,Yes,84.0,74.0,66.0,Yes,Medium,12.0,8.0,3.77,Engineering,Electrical
3250,18.0,Female,47.0,Auditory,17.0,Yes,78.0,43.0,71.0,Yes,High,25.0,10.0,2.955,Health Sciences,Pharmacy
3251,23.0,Male,19.0,Auditory,3.0,Yes,89.0,49.0,98.0,Yes,Medium,3.0,8.0,3.54,Business and Finance,Accountancy
3252,29.0,Male,11.0,Kinesthetic,16.0,Yes,68.0,58.0,95.0,Yes,Medium,18.0,7.0,3.42,Business and Finance,Economics
3253,18.0,Male,44.0,Kinesthetic,2.0,Yes,91.0,100.0,68.0,Yes,Low,7.0,10.0,4.545,Engineering,Electronic
3254,19.0,Male,19.0,Kinesthetic,8.0,Yes,84.0,66.0,71.0,No,Low,14.0,7.0,3.62,Health Sciences,Medical Technology
3255,19.0,Female,6.0,Kinesthetic,9.0,No,94.0,89.0,66.0,Yes,Medium,30.0,4.0,4.295,Engineering,Computer
3256,25.0,Female,38.0,Kinesthetic,12.0,No,65.0,73.0,94.0,Yes,Medium,5.0,10.0,3.74,Business and Finance,Entrepreneurship
3257,24.0,Female,27.0,Auditory,16.0,Yes,56.0,55.0,96.0,Yes,Medium,29.0,8.0,3.175,Health Sciences,Nursing
3258,18.0,Female,41.0,Auditory,18.0,No,93.0,85.0,99.0,Yes,Medium,8.0,6.0,4.51,Health Sciences,Public Health
3259,18.0,Female,47.0,Auditory,2.0,Yes,72.0,50.0,89.0,Yes,High,26.0,7.0,3.22,Business and Finance,Business Administration
3260,24.0,Male,45.0,Kinesthetic,3.0,Yes,63.0,44.0,82.0,Yes,Medium,8.0,10.0,2.865,Health Sciences,Nursing
3261,22.0,Male,14.0,Auditory,9.0,No,52.0,69.0,95.0,No,High,1.0,8.0,3.455,Business and Finance,Entrepreneurship
3262,20.0,Male,19.0,Auditory,10.0,Yes,53.0,64.0,66.0,Yes,Medium,27.0,10.0,3.055,Business and Finance,Business Administration
3263,20.0,Female,39.0,Reading/Writing,12.0,No,65.0,99.0,52.0,Yes,Medium,11.0,8.0,3.97,Health Sciences,Medical Technology
3264,27.0,Female,9.0,Auditory,10.0,Yes,79.0,77.0,52.0,Yes,Low,18.0,10.0,3.63,Engineering,Electrical
3265,28.0,Female,9.0,Visual,9.0,Yes,55.0,100.0,54.0,No,Medium,20.0,8.0,3.865,Health Sciences,Medical Technology
3266,18.0,Male,44.0,Auditory,4.0,Yes,98.0,82.0,70.0,Yes,Low,29.0,5.0,4.22,Health Sciences,Nursing
